station,lat,lon,depth,temperature,salinity,fluorescence
53,-23.46555556,-42.50638889,4,24.1973,35.9873,0.120453846
54,-23.72194444,-42.34472222,4,25.0425,35.9996,0.120453846
55,-23.96055556,-42.17638889,4,25.3201,35.9699,0.120453846
56,-24.19388889,-42.01166667,4,25.0977,36.0164,0.120453846
57,-24.37305556,-41.82472222,4,26.6163,36.8803,0.120453846
58,-23.93861111,-41.41055556,4,27.2526,36.9955,0.120453846
59,-24.03083333,-41.56583333,4,26.6255,36.9056,0.120453846
60,-23.82055556,-41.72333333,4,25.931,35.864,0.120453846
61,-23.63416667,-41.85777778,4,25.4067,35.8607,0.120453846
62,-23.31777778,-42.02111111,4,25.7403,35.6994,0.120453846
63,-23.19777778,-41.8325,4,23.7855,35.6727,0.120453846
64,-23.37472222,-41.66888889,4,24.9249,35.8646,0.120453846
65,-23.70055556,-41.51,4,25.7652,35.8717,0.120453846
66,-23.83138889,-41.36111111,4,27.4787,37.1347,0.120453846
67,-23.77777778,-41.20638889,4,27.3264,37.0785,0.120453846
68,-23.63777778,-40.99666667,4,27.3811,37.0851,0.120453846
69,-23.65277778,-41.15305556,4,27.4939,37.1635,0.120453846
70,-23.43388889,-41.31666667,4,26.453,36.8838,0.120453846
71,-23.21888889,-41.47138889,4,24.8728,35.7267,0.120453846
72,-23.06055556,-41.62166667,4,25.8811,35.58,0.120453846
73,-22.66444444,-41.4675,4,23.9231,35.7126,0.120453846
74,-22.8925,-41.30666667,4,25.3971,34.8498,0.120453846
75,-22.96277778,-41.15611111,4,26.925,37.0424,0.120453846
76,-23.14583333,-40.98333333,4,27.4181,37.148,0.120453846
77,-23.41444444,-40.83861111,4,27.3947,37.1137,0.120453846
77,-23.41444444,-40.83583333,4,27.4216,37.1108,0.120453846
78,-22.87027778,-40.40888889,4,26.1752,36.4297,0.120453846
79,-22.71,-40.59583333,4,25.3051,36.5692,0.120453846
80,-22.6,-40.77805556,4,25.5098,36.5439,0.120453846
81,-22.45611111,-40.96027778,4,22.9413,35.932,0.120453846
